x,y,z
0.640575,-0.054328,-0.235891
0.634682,-0.046992,-0.231186
0.647493,-0.04103,-0.241359
0.647758,-0.0341,-0.241552
0.643181,-0.030403,-0.237902
0.642501,-0.026929,-0.237353
0.642591,-0.023492,-0.237416
0.64267,-0.020055,-0.23747
0.642737,-0.016618,-0.237514
0.642792,-0.01318,-0.237549
0.645183,-0.009779,-0.239442
0.645215,-0.006328,-0.239459
0.645235,-0.002877,-0.239466
0.643678,0.000573,-0.238219
0.642891,0.004011,-0.237585
0.642876,0.007449,-0.237564
0.637371,0.01079,-0.233177
0.637332,0.014198,-0.233138
0.640412,0.017695,-0.235578
0.645045,0.02128,-0.239253
0.649665,0.024918,-0.242918
0.649578,0.028394,-0.24284
0.646351,0.031709,-0.240265
0.646241,0.035166,-0.240169
0.644423,0.041972,-0.238705
0.637871,0.048369,-0.233479
0.636745,0.055116,-0.232566
0.638695,0.062159,-0.234099
0.639035,0.069073,-0.234351
0.639328,0.076,-0.234566
0.639287,0.086356,-0.234508
0.636032,0.096233,-0.231894
0.648192,0.108728,-0.241532
0.641214,0.121509,-0.23595
0.644878,0.136392,-0.238826
0.636276,0.152068,-0.231945
0.640248,0.167315,-0.235065
0.638029,0.184615,-0.233256
0.640816,0.203628,-0.235424
0.646242,0.2277,-0.239677
0.642031,0.252389,-0.236266
0.639217,0.281715,-0.233953
0.646069,0.312467,-0.239323
0.640328,0.345723,-0.234673
0.645355,0.382017,-0.238578
0.609572,0.388409,-0.210105
0.477964,0.303999,-0.10566
0.410552,0.261382,-0.05216
0.379998,0.243141,-0.027908
0.356457,0.229342,-0.009223
0.352143,0.231071,-0.005788
0.351353,0.232885,-0.005155
0.352602,0.236173,-0.00614
0.353834,0.23948,-0.007111
0.357925,0.252375,-0.010331
0.39935,0.286707,-0.043187
0.566408,0.41915,-0.175701
0.636419,0.478129,-0.231226
0.643434,0.527252,-0.236679
0.645635,0.585879,-0.23828
0.648442,0.649732,-0.240349
0.647823,0.715206,-0.239689
0.638858,0.789582,-0.23237
0.606785,0.768072,-0.206919
0.576004,0.759798,-0.182461
0.624326,0.871183,-0.220604
0.647109,0.962018,-0.238491
0.645479,1.05903,-0.236946
0.651118,1.17185,-0.241143
0.616863,1.26731,-0.213658
0.587265,1.22803,-0.19022
0.558049,1.19984,-0.167058
0.404285,0.870595,-0.045619
0.360589,0.777965,-0.011107
0.344465,0.748167,0.001639
0.340425,0.746404,0.004848
0.337507,0.747261,0.00717
0.331304,0.740131,0.012085
0.32588,0.734721,0.016385
0.323011,0.735491,0.018668
0.31943,0.73446,0.021513
0.314451,0.729829,0.025461
0.309113,0.732109,0.029712
0.304105,0.735226,0.033702
0.29383,0.715997,0.041824
0.272319,0.665906,0.058803
0.251817,0.617403,0.074983
0.241123,0.615927,0.083484
0.228298,0.600157,0.093643
0.227998,0.661911,0.094039
0.237124,0.729168,0.086953
0.312663,1.03151,0.027654
0.363088,1.24745,-0.011895
0.35815,1.28335,-0.007876
0.352554,1.28042,-0.003433
0.34818,1.28222,4.9e-05
0.34262,1.27922,0.004463
0.337553,1.2781,0.00849
0.333187,1.27982,0.011967
0.328363,1.27959,0.015802
0.324884,1.28509,0.018583
0.319616,1.28289,0.022767
0.315234,1.28451,0.026256
0.309781,1.28129,0.030584
0.304775,1.27996,0.034561
0.299577,1.27763,0.038689
0.291444,1.28351,0.045172
0.282091,1.2835,0.05261
0.271825,1.27851,0.060761
0.263627,1.2841,0.067295
0.25485,1.28668,0.074281
0.24489,1.28233,0.082191
0.231581,1.28487,0.092781
0.217818,1.28424,0.103725
0.204375,1.28534,0.114418
0.185934,1.28216,0.129075
0.166866,1.27163,0.144212
